,Open,High,Low,Close,Volume,Adj Close
2018-03-28,10450,10550,10200,10250,510629,10250
2018-03-29,10250,10350,10100,10250,272749,10250
2018-03-30,10300,10300,10100,10100,316991,10100
2018-04-02,10050,10250,9990,9990,489766,9990
2018-04-03,9900,10050,9830,9910,462005,9910
2018-04-04,9910,10050,9840,9850,331177,9850
2018-04-05,9880,10100,9850,9980,265988,9980
2018-04-06,10000,10050,9880,9920,196903,9920
2018-04-09,9900,9960,9260,9320,1284702,9320
2018-04-10,9360,9600,9260,9550,407593,9550
2018-04-11,9460,9820,9430,9730,521251,9730
2018-04-12,9690,9770,9570,9570,247162,9570
2018-04-13,9580,9600,9460,9490,341226,9490
2018-04-16,9490,9500,9160,9230,615445,9230
2018-04-17,9230,9270,9120,9180,532425,9180
2018-04-18,9190,9640,9160,9550,761376,9550
2018-04-19,9570,10300,9450,10200,1163881,10200
2018-04-20,10200,10250,9970,10200,409796,10200
2018-04-23,10100,10500,10050,10400,588948,10400
2018-04-24,10300,10350,10050,10150,364330,10150
2018-04-25,10050,10100,9890,10000,304327,10000
2018-04-26,9980,10200,9830,9940,322520,9940
2018-04-27,10000,10250,9940,9990,252891,9990
2018-04-30,10200,11300,10200,11000,1907960,11000
2018-05-02,11500,11600,10650,11100,1689971,11100
2018-05-03,11350,11350,10600,10700,489077,10700
2018-05-04,10600,10900,10400,10750,541565,10750
2018-05-08,10700,10900,10450,10550,655723,10550
2018-05-09,10550,10650,10000,10100,780420,10100
2018-05-10,10200,10500,10100,10450,581629,10450
2018-05-11,10500,10550,10200,10450,402658,10450
2018-05-14,10300,11100,10250,11000,1240205,11000
2018-05-15,11050,11350,10900,10950,724390,10950
2018-05-16,10600,10800,10250,10350,796976,10350
2018-05-17,10400,10650,10350,10400,332608,10400
2018-05-18,10350,10500,10250,10500,215447,10500
2018-05-21,10500,10500,10150,10300,270357,10300
2018-05-23,10200,10300,9960,10200,372034,10200
2018-05-24,10200,10200,9850,9990,611210,9990
2018-05-25,9700,9830,9700,9730,481684,9730
2018-05-28,10100,10950,10050,10850,1525428,10850
2018-05-29,10700,10850,10450,10600,698434,10600
2018-05-30,10450,10550,10000,10100,719564,10100
2018-05-31,10100,10350,9980,10100,492968,10100
2018-06-01,10150,10300,9980,10050,409622,10050
2018-06-04,10200,10400,10050,10300,424058,10300
2018-06-05,10400,10650,10300,10550,464897,10550
2018-06-07,10600,10850,10600,10750,459782,10750
2018-06-08,10650,10700,10350,10450,294620,10450
2018-06-11,10550,10650,10400,10550,196501,10550
2018-06-12,10650,10650,10200,10450,418239,10450
2018-06-14,10250,10300,9980,9980,717861,9980
2018-06-15,9810,10200,9810,9990,384207,9990
2018-06-18,10050,10050,9580,9700,387702,9700
2018-06-19,9700,9710,9150,9180,567713,9180
2018-06-20,9180,9280,9080,9180,326594,9180
