,Adj Close,Close,High,Low,Open,Volume
2018-01-03,3660,3660,3725,3550,3550,17206
2018-01-04,3665,3665,3705,3530,3570,23583
2018-01-05,3610,3610,3665,3550,3665,21519
2018-01-08,3630,3630,3630,3510,3610,15304
2018-01-09,3530,3530,3660,3530,3630,24209
2018-01-10,3570,3570,3635,3520,3535,14913
2018-01-11,3585,3585,3670,3500,3670,21341
2018-01-12,3450,3450,3475,3365,3425,172648
2018-01-15,3400,3400,3495,3400,3455,39182
2018-01-16,3450,3450,3450,3340,3400,41925
2018-01-17,3330,3330,3450,3300,3450,33429
2018-01-18,3355,3355,3440,3300,3330,37273
2018-01-19,3405,3405,3420,3330,3330,22106
2018-01-22,3420,3420,3420,3345,3395,21762
2018-01-23,3425,3425,3440,3355,3420,10258
2018-01-24,3430,3430,3435,3350,3435,30738
2018-01-25,3520,3520,3700,3400,3425,73251
2018-01-26,3705,3705,3755,3475,3595,59002
2018-01-29,4010,4010,4030,3640,3640,106024
2018-01-30,4135,4135,4135,4000,4100,43875
2018-01-31,4230,4230,4285,4000,4000,100249
2018-08-06,839,839,866,810,823,920834
