,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2003-04-11,7360.0,7480.0,7740.0,7300.0,7300.0,8600.0,
2003-04-14,7468.0,7590.0,7600.0,7470.0,7480.0,4100.0,
2003-04-15,7488.0,7610.0,7610.0,7510.0,7570.0,1400.0,
2003-04-16,7566.0,7690.0,7790.0,7570.0,7600.0,4500.0,
2003-04-17,7488.0,7610.0,7650.0,7530.0,7530.0,3600.0,
2003-04-18,7753.0,7880.0,7900.0,7640.0,7640.0,2100.0,
2003-04-21,7960.0,8090.0,8100.0,7740.0,7740.0,5400.0,
2003-04-22,7862.0,7990.0,8490.0,7820.0,8200.0,3300.0,
2003-04-23,7842.0,7970.0,8100.0,7860.0,8020.0,3300.0,
2003-04-24,7675.0,7800.0,7910.0,7700.0,7900.0,5600.0,
2003-04-25,7606.0,7730.0,7780.0,7450.0,7710.0,1500.0,
2003-04-28,7675.0,7800.0,7980.0,7360.0,7360.0,1900.0,
2003-04-29,7704.0,7830.0,7890.0,7680.0,7790.0,2900.0,
2003-04-30,7527.0,7650.0,7850.0,7600.0,7850.0,1300.0,
2003-05-02,7468.0,7590.0,8090.0,7530.0,7530.0,7900.0,
2003-05-06,7498.0,7620.0,7800.0,7520.0,7610.0,3900.0,
2003-05-07,7468.0,7590.0,7780.0,7510.0,7780.0,1800.0,
2003-05-09,7439.0,7560.0,7570.0,7200.0,7200.0,2800.0,
2003-05-12,7419.0,7540.0,7560.0,7400.0,7450.0,6300.0,
2003-05-13,7350.0,7470.0,7580.0,7400.0,7460.0,3000.0,
2003-05-14,7311.0,7430.0,7650.0,7360.0,7490.0,4300.0,
2003-05-15,7320.0,7440.0,7450.0,7340.0,7450.0,4600.0,
2003-05-16,7340.0,7460.0,7790.0,7350.0,7400.0,3200.0,
2003-05-19,7281.0,7400.0,7600.0,7380.0,7410.0,13900.0,
2003-05-20,7183.0,7300.0,7560.0,7300.0,7330.0,6100.0,
2003-05-21,7261.0,7380.0,7550.0,7280.0,7360.0,14200.0,
2003-05-22,7340.0,7460.0,7680.0,7370.0,7400.0,9700.0,
2003-05-23,7380.0,7500.0,7590.0,7460.0,7500.0,2700.0,
2003-05-26,7380.0,7500.0,7780.0,7460.0,7460.0,6300.0,
2003-05-27,7370.0,7490.0,7610.0,7400.0,7510.0,3300.0,
2003-05-28,7950.0,8080.0,8230.0,7450.0,7450.0,17000.0,
2003-05-29,7911.0,8040.0,8240.0,7730.0,8240.0,6500.0,
2003-05-30,7626.0,7750.0,8060.0,7610.0,7900.0,5700.0,
2003-06-02,8039.0,8170.0,8190.0,7700.0,7700.0,6700.0,
2003-06-03,7635.0,7760.0,8100.0,7760.0,8100.0,3500.0,
2003-06-04,7990.0,8120.0,8240.0,7660.0,7850.0,9500.0,
2003-06-05,7999.0,8130.0,8680.0,7920.0,7990.0,6700.0,
2003-06-09,7921.0,8050.0,8290.0,8040.0,8150.0,6000.0,
2003-06-10,8068.0,8200.0,8300.0,7970.0,7970.0,5100.0,
2003-06-11,7931.0,8060.0,8260.0,7850.0,8050.0,5900.0,
2003-06-12,7999.0,8130.0,8290.0,7900.0,8290.0,5800.0,
2003-06-13,8127.0,8260.0,8280.0,8010.0,8010.0,4300.0,
2003-06-16,8206.0,8340.0,8480.0,8080.0,8150.0,6200.0,
2003-06-17,8118.0,8250.0,8590.0,8200.0,8590.0,5400.0,
2003-06-18,8127.0,8260.0,8300.0,8100.0,8100.0,1900.0,
2003-06-19,8009.0,8140.0,8380.0,8120.0,8220.0,3700.0,
2003-06-20,7872.0,8000.0,8090.0,7950.0,8080.0,3100.0,
