"name","code","ingornot"
"이스트소프트",47560,"ing"
"코데즈컴바인",47770,"ing"
"초록뱀",47820,"ing"
"씨트리",47920,"ing"
"오스템임플란트",48260,"ing"
"현대아이비티",48410,"ing"
"유라테크",48430,"ing"
"대동스틸",48470,"ing"
"인트론바이오",48530,"ing"
"SM C&C",48550,"ing"
"TPC",48770,"ing"
"엔피케이",48830,"ing"
"시너지이노베이션",48870,"ing"
"대원미디어",48910,"ing"
"인탑스",49070,"ing"
"기가레인",49080,"ing"
"파인디앤씨",49120,"ing"
"셀루메드",49180,"ing"
"코메론",49430,"ing"
"SGA",49470,"ing"
"오픈베이스",49480,"ing"
"유아이엘",49520,"ing"
"잉크테크",49550,"ing"
"재영솔루텍",49630,"ing"
"고려신용정보",49720,"ing"
"승일",49830,"ing"
"미래컴퍼니",49950,"ing"
"쎌바이오텍",49960,"ing"
"휘닉스소재",50090,"ing"
"캠시스",50110,"ing"
"라이브플렉스",50120,"ing"
"에이앤티앤",50320,"stop"
"한국코퍼레이션",50540,"ing"
"에스폴리텍",50760,"ing"
"아세아텍",50860,"ing"
"쏠리드",50890,"ing"
"수산아이앤티",50960,"ing"
"지어소프트",51160,"ing"
"토비스",51360,"ing"
"인터플렉스",51370,"ing"
"피씨디렉트",51380,"ing"
"YW",51390,"ing"
"나라엠앤디",51490,"ing"
"CJ프레시웨이",51500,"ing"
"큐로홀딩스",51780,"ing"
"중앙리빙테크",51980,"ing"
"에스티큐브",52020,"ing"
"이에스에이",52190,"ing"
"iMBC",52220,"ing"
"SK바이오랜드",52260,"ing"
"트레이스",52290,"stop"
"W홀딩컴퍼니",52300,"ing"
"코텍",52330,"ing"
"코나아이",52400,"ing"
"오성첨단소재",52420,"ing"
"아이크래프트",52460,"ing"
"한네트",52600,"ing"
"제일바이오",52670,"ing"
"아모텍",52710,"ing"
"와이디온라인",52770,"ing"
"액토즈소프트",52790,"ing"
"아이앤씨",52860,"ing"
"KMH하이텍",52900,"ing"
"바이넥스",53030,"ing"
"지에스이",53050,"ing"
"세동",53060,"ing"
"소리바다",53110,"ing"
"프리엠스",53160,"ing"
"금강철강",53260,"ing"
"구영테크",53270,"ing"
"예스24",53280,"ing"
"NE능률",53290,"ing"
"한국정보인증",53300,"ing"
"이니텍",53350,"ing"
"세코닉스",53450,"ing"
"한국테크놀로지",53590,"ing"
"프로텍",53610,"ing"
"태양",53620,"ing"
"현진소재",53660,"ing"
"삼보모터스",53700,"ing"
"안랩",53800,"ing"
"경남제약",53950,"stop"
"오상자이엘",53980,"ing"
"한국컴퓨터",54040,"ing"
"농우바이오",54050,"ing"
"삼진엘앤디",54090,"ing"
"중앙오션",54180,"ing"
"이랜텍",54210,"ing"
"비츠로시스",54220,"ing"
"팬스타엔터프라이즈",54300,"ing"
"피앤텔",54340,"ing"
"케이피티유",54410,"ing"
"텔레칩스",54450,"ing"
"삼영엠텍",54540,"ing"
"APS홀딩스",54620,"ing"
"에이디칩스",54630,"ing"
"대한뉴팜",54670,"ing"
"키이스트",54780,"ing"
"아이디스홀딩스",54800,"ing"
"한컴시큐어",54920,"ing"
"유신",54930,"ing"
"엑사이엔씨",54940,"ing"
"제이브이엠",54950,"ing"
"신스타임즈",56000,"ing"
"유진로봇",56080,"ing"
"유앤아이",56090,"ing"
"에스에프에이",56190,"ing"
"코위버",56360,"ing"
"신화인터텍",56700,"ing"
"포스링크",56730,"ing"
"와이비엠넷",57030,"ing"
"SKC 솔믹스",57500,"ing"
"옴니시스템",57540,"ing"
"옴니텔",57680,"ing"
"토필드",57880,"ing"
"멕아이씨에스",58110,"ing"
"아리온",58220,"ing"
"KNN",58400,"ing"
"제이웨이",58420,"ing"
"일야",58450,"ing"
"리노공업",58470,"ing"
"슈펙스비앤피",58530,"ing"
"에스피지",58610,"ing"
"엠게임",58630,"ing"
"CMG제약",58820,"ing"
"미코",59090,"ing"
"아이컴포넌트",59100,"ing"
"아진엑스텍",59120,"ing"
"메타바이오메드",59210,"ing"
"인선이엔티",60150,"ing"
"이그잭스",60230,"ing"
"룽투코리아",60240,"ing"
"NHN한국사이버결제",60250,"ing"
"뉴보텍",60260,"stop"
"큐렉소",60280,"ing"
"레드로버",60300,"ing"
"3S",60310,"ing"
"KT서브마린",60370,"ing"
"동양에스텍",60380,"ing"
"국일신동",60480,"ing"
"에스에이티",60540,"ing"
"홈센타홀딩스",60560,"ing"
"아이리버",60570,"ing"
"씨티씨바이오",60590,"ing"
"KH바텍",60720,"ing"
"퍼시픽바이오",60900,"ing"
"알에프텍",61040,"ing"
"화일약품",61250,"ing"
"엘비세미콘",61970,"ing"
"티엘아이",62860,"ing"
"게임빌",63080,"ing"
"서울옥션",63170,"ing"
"SM Life Design",63440,"ing"
"한국전자금융",63570,"ing"
"이엘피",63760,"ing"
"에프앤리퍼블릭",64090,"ing"
"홈캐스트",64240,"ing"
"다날",64260,"ing"
"인텍플러스",64290,"ing"
"브리지텍",64480,"ing"
"에코마이스터",64510,"ing"
"바른전자",64520,"ing"
"바이오니아",64550,"ing"
"티씨케이",64760,"ing"
"필링크",64800,"ing"
"케이프",64820,"ing"
"지엔코",65060,"ing"
"탑엔지니어링",65130,"ing"
"MP그룹",65150,"stop"
"에프티이앤이",65160,"stop"
"넥스트BT",65170,"ing"
"신성델타테크",65350,"ing"
"에스아이리소스",65420,"ing"
"이루온",65440,"ing"
"빅텍",65450,"ing"
"오리엔트정공",65500,"ing"
"휴비츠",65510,"ing"
"전파기지국",65530,"ing"
"녹원씨엔아이",65560,"ing"
"삼영이엔씨",65570,"ing"
"제낙스",65620,"ing"
"메디프론",65650,"ing"
"안트로젠",65660,"ing"
"우주일렉트로",65680,"ing"
"대진디엠피",65690,"ing"
"서호전기",65710,"ing"
"CS",65770,"ing"
"바이오빌",65940,"ing"
"웰크론",65950,"ing"
"한프",66110,"ing"
"하츠",66130,"ing"
"큐에스아이",66310,"ing"
"체리부로",66360,"ing"
"아컴스튜디오",66410,"ing"
"와이오엠",66430,"ing"
"우수AMS",66590,"ing"
"국보디자인",66620,"ing"
"디스플레이텍",66670,"ing"
"테라젠이텍스",66700,"ing"
"씨씨에스",66790,"stop"
"디에이피",66900,"ing"
"손오공",66910,"ing"
"엘앤에프",66970,"ing"
"브레인콘텐츠",66980,"ing"
"조이시티",67000,"ing"
"이씨에스",67010,"ing"
"대화제약",67080,"ing"
"아프리카TV",67160,"ing"
"오텍",67170,"ing"
"멀티캠퍼스",67280,"ing"
"JW신약",67290,"ing"
"하나마이크론",67310,"ing"
"아스트",67390,"ing"
"엔브이에이치코리아",67570,"ing"
"에이치엘비생명과학",67630,"ing"
"로지시스",67730,"ing"
"세진티에스",67770,"ing"
"와이엔텍",67900,"ing"
"이글루시큐리티",67920,"ing"
"도이치모터스",67990,"ing"
"팬엔터테인먼트",68050,"ing"
"다원시스",68240,"ing"
"일신바이오",68330,"ing"
"셀트리온제약",68760,"ing"
"DMS",68790,"ing"
"디지털대성",68930,"ing"
"아이씨케이",68940,"ing"
"웹젠",69080,"ing"
"코스온",69110,"ing"
"누리플랜",69140,"ing"
"유아이디",69330,"ing"
"엔텔스",69410,"ing"
"에스텍",69510,"ing"
"라이트론",69540,"ing"
"아이에스이커머스",69920,"ing"
"한솔시큐어",70300,"ing"
"한솔인티큐브",70590,"stop"
"인피니트헬스케어",71200,"ing"
"로체시스템즈",71280,"ing"
"대유위니아",71460,"ing"
"에이테크솔루션",71670,"ing"
"캐스텍코리아",71850,"ing"
"중앙백신",72020,"ing"
"우리산업홀딩스",72470,"ing"
"케이디 네이쳐 엔 바이오",72520,"ing"
"네오디안테크놀로지",72770,"ing"
"메가스터디",72870,"ing"
"빛샘전자",72950,"ing"
"에이치시티",72990,"ing"
"케이에스피",73010,"stop"
"에스모",73070,"ing"
"엘엠에스",73110,"ing"
"듀오백",73190,"ing"
"이노와이어리스",73490,"ing"
"에프알텍",73540,"ing"
"우리손에프앤지",73560,"ing"
"피엠지파마",73570,"ing"
"삼원테크",73640,"ing"
"아미노로직스",74430,"ing"
"원익QnC",74600,"ing"
"플랜티넷",75130,"ing"
"동국알앤에스",75970,"ing"
"웰크론한텍",76080,"ing"
"해성옵틱스",76610,"ing"
"한컴지엠디",77280,"ing"
"덕산하이메탈",77360,"ing"
