"name","code","ingornot"
"LG이노텍",11070,"ing"
"에넥스",11090,"ing"
"CJ씨푸드",11150,"ing"
"두산건설",11160,"ing"
"롯데케미칼",11170,"ing"
"현대상선",11200,"ing"
"현대위아",11210,"ing"
"삼화전자공업",11230,"ing"
"태림포장",11280,"ing"
"성안",11300,"ing"
"유니켐",11330,"ing"
"부산산업",11390,"ing"
"갤럭시아에스엠",11420,"ing"
"한농화성",11500,"ing"
"유양디앤유",11690,"ing"
"한신기계공업",11700,"ing"
"현대종합상사",11760,"ing"
"금호석유화학",11780,"ing"
"SKC",11790,"ing"
"STX",11810,"ing"
"신성이엔지",11930,"ing"
"DB",12030,"ing"
"영흥철강",12160,"ing"
"키위미디어그룹",12170,"ing"
"계양전기",12200,"ing"
"영화금속",12280,"ing"
"경동인베스트",12320,"ing"
"현대모비스",12330,"ing"
"한화에어로스페이스",12450,"ing"
"더존비즈온",12510,"ing"
"청호컴넷",12600,"ing"
"경인양행",12610,"ing"
"HDC",12630,"ing"
"모나리자",12690,"ing"
"에스원",12750,"ing"
"대창",12800,"ing"
"세우글로벌",13000,"ing"
"일성건설",13360,"ing"
"화승알앤에이",13520,"ing"
"디와이",13570,"ing"
"계룡건설산업",13580,"ing"
"까뮤이앤씨",13700,"ing"
"지엠비코리아",13870,"ing"
"한익스프레스",14130,"ing"
"대영포장",14160,"ing"
"금강공업",14280,"ing"
"영보화학",14440,"ing"
"극동유화",14530,"ing"
"백광소재",14580,"ing"
"한솔케미칼",14680,"ing"
"사조씨푸드",14710,"ing"
"한라",14790,"ing"
"동원시스템즈",14820,"ing"
"유니드",14830,"ing"
"성문전자",14910,"ing"
"인디에프",14990,"ing"
"이스타코",15020,"ing"
"대창단조",15230,"ing"
"에이엔피",15260,"ing"
"부산도시가스",15350,"ing"
"예스코홀딩스",15360,"ing"
"메디플란트",15540,"ing"
"큐로",15590,"ing"
"한국전력공사",15760,"ing"
"일진홀딩스",15860,"ing"
"태경산업",15890,"ing"
"대현",16090,"ing"
"삼성증권",16360,"ing"
"동부제철",16380,"ing"
"한세예스24홀딩스",16450,"ing"
"환인제약",16580,"ing"
"신대양제지",16590,"ing"
"DB금융투자",16610,"ing"
"대성홀딩스",16710,"ing"
"두올",16740,"ing"
"퍼시스",16800,"ing"
"웅진",16880,"ing"
"광명전기",17040,"ing"
"명문제약",17180,"ing"
"우신시스템",17370,"ing"
"서울도시가스",17390,"ing"
"수산중공업",17550,"ing"
"SK텔레콤",17670,"ing"
"현대엘리베이터",17800,"ing"
"풀무원",17810,"ing"
"광전자",17900,"ing"
"E1",17940,"ing"
"한국카본",17960,"ing"
"애경산업",18250,"ing"
"삼성에스디에스",18260,"ing"
"조일알미늄",18470,"ing"
"동원금속",18500,"ing"
"SK가스",18670,"ing"
"한온시스템",18880,"ing"
"신풍제약",19170,"ing"
"티에이치엔",19180,"ing"
"세아특수강",19440,"ing"
"하이트론씨스템즈",19490,"ing"
"대교",19680,"ing"
"한섬",20000,"ing"
"키다리스튜디오",20120,"ing"
"일진머티리얼즈",20150,"ing"
"아시아나항공",20560,"ing"
"일진디스플",20760,"ing"
"서원",21050,"ing"
"코웨이",21240,"ing"
"세원정공",21820,"ing"
"삼원강재",23000,"ing"
"MH에탄올",23150,"ing"
"한국종합기술",23350,"ing"
"동남합성",23450,"ing"
"롯데쇼핑",23530,"ing"
"다우기술",23590,"ing"
"인지컨트롤스",23800,"ing"
"인팩",23810,"ing"
"에쓰씨엔지니어링",23960,"ing"
"WISCOM",24070,"ing"
"디씨엠",24090,"ing"
"기업은행",24110,"ing"
"한국콜마홀딩스",24720,"ing"
"대원화성",24890,"ing"
"덕양산업",24900,"ing"
"KPX케미칼",25000,"ing"
"에스제이엠홀딩스",25530,"ing"
"한국단자공업",25540,"ing"
"미래산업",25560,"ing"
"제이준코스메틱",25620,"ing"
"한솔홈데코",25750,"ing"
"이구산업",25820,"ing"
"남해화학",25860,"ing"
"한국주강",25890,"ing"
"디피씨",26890,"ing"
"부국철강",26940,"ing"
"동서",26960,"ing"
"한화갤러리아타임월드",27390,"ing"
"BGF",27410,"ing"
"마니커",27740,"ing"
"세하",27970,"ing"
"삼성엔지니어링",28050,"ing"
"동아지질",28100,"ing"
"삼성물산",28260,"ing"
"팬오션",28670,"ing"
"케이씨",29460,"ing"
"신도리코",29530,"ing"
"삼성카드",29780,"ing"
"제일기획",30000,"ing"
"케이티",30200,"ing"
"KTB투자증권",30210,"ing"
"교보증권",30610,"ing"
"동원수산",30720,"ing"
"동양네트웍스",30790,"ing"
"신세계인터내셔날",31430,"ing"
"신세계푸드",31440,"ing"
"콤텍시스템",31820,"ing"
"롯데관광개발",32350,"ing"
"황금에스티",32560,"ing"
"LG유플러스",32640,"ing"
"삼성생명",32830,"ing"
"필룩스",33180,"ing"
"자화전자",33240,"ing"
"체시스",33250,"ing"
"유나이티드",33270,"ing"
"세종공업",33530,"ing"
"아주캐피탈",33660,"ing"
"케이티앤지",33780,"ing"
"무학",33920,"ing"
"두산중공업",34020,"ing"
"SBS",34120,"ing"
"LG디스플레이",34220,"ing"
"신세계건설",34300,"ing"
"NICE",34310,"ing"
"인천도시가스",34590,"ing"
"SK",34730,"ing"
"한국토지신탁",34830,"ing"
"지투알",35000,"ing"
"백산",35150,"ing"
"강원랜드",35250,"ing"
"NAVER",35420,"ing"
"신세계I&C",35510,"ing"
"카카오",35720,"stop"
"한국가스공사",36460,"ing"
"S&T홀딩스",36530,"ing"
"엔씨소프트",36570,"ing"
"팜스코",36580,"ing"
"YG PLUS",37270,"ing"
"CJ헬로",37560,"ing"
"광주신세계",37710,"ing"
"하나투어",39130,"ing"
"키움증권",39490,"ing"
"HDC아이콘트롤스",39570,"ing"
"상신브레이크",41650,"ing"
"대우조선해양",42660,"ing"
"두산인프라코어",42670,"ing"
"한미반도체",42700,"ing"
"주연테크",44380,"ing"
"KSS해운",44450,"ing"
"코스맥스비티아이",44820,"ing"
"대우건설",47040,"ing"
"포스코대우",47050,"ing"
"유니온머티리얼",47400,"ing"
"한국항공우주",47810,"ing"
"동원F&B",49770,"ing"
"우진플라임",49800,"ing"
"한전KPS",51600,"ing"
"진양화학",51630,"ing"
"LG생활건강",51900,"ing"
"LG화학",51910,"ing"
"한전기술",52690,"ing"
"케이티스카이라이프",53210,"ing"
"한미글로벌",53690,"ing"
"테이팩스",55490,"ing"
"신한지주",55550,"ing"
"현대홈쇼핑",57050,"ing"
"포스코강판",58430,"ing"
"세아홀딩스",58650,"ing"
"다스코",58730,"ing"
"KTcs",58850,"ing"
"케이티스",58860,"ing"
"한라홀딩스",60980,"ing"
"종근당바이오",63160,"ing"
"현대로템",64350,"ing"
"S&T모티브",64960,"ing"
"LG전자",66570,"ing"
"세이브존I&C",67830,"ing"
"셀트리온",68270,"stop"
"삼성출판사",68290,"ing"
"AJ렌터카",68400,"ing"
"휴켐스",69260,"ing"
"대호에이엘",69460,"ing"
"대웅제약",69620,"ing"
"한세엠케이",69640,"ing"
"DSR제강",69730,"ing"
"현대백화점",69960,"ing"
"용평리조트",70960,"ing"
"한국금융지주",71050,"ing"
"하이스틸",71090,"ing"
"지역난방공사",71320,"ing"
