,Adj Close,Close,High,Low,Open,Volume
2010-03-23,3233,59400,60100,60100,52945,60000
2010-03-24,4404,59700,59800,61100,52680,60200
2010-03-25,3534,59600,60000,60500,52857,59800
2010-03-26,7475,58500,59400,60000,52328,59900
2010-03-29,5076,58900,59400,59600,52328,59400
2010-03-30,3304,59300,59700,60000,52592,59900
2010-03-31,4476,59800,60200,61000,53033,60200
2010-04-01,37655,60800,63400,66000,55852,60800
2010-04-02,12173,62000,62900,64500,55411,64300
2010-04-05,8487,60000,61700,63600,54354,63300
2010-04-06,15076,60700,64000,65000,56380,62400
2010-04-07,16275,63600,65100,65900,57349,64100
2010-04-08,6089,64000,65200,65500,57438,65000
2010-04-09,2668,64200,65100,65200,57349,65200
2010-04-12,5406,63000,64000,65700,56380,65300
2010-04-13,7842,62900,64500,65300,56821,65300
2010-04-14,6649,63500,64900,65700,57173,64900
2010-04-15,10381,64500,66600,66600,58671,64700
2010-04-16,33713,67000,70000,71400,61666,67000
2010-04-19,26085,68000,69800,72500,61490,69000
2010-04-20,20834,70100,72600,73000,63957,71100
2010-04-21,11644,70500,72500,72800,63868,72800
2010-04-22,9275,70500,71900,72400,63340,72000
2010-04-23,5692,71000,72500,73800,63868,71200
2010-04-26,6770,70800,71500,73500,62988,73500
2010-04-27,29454,70800,74500,74500,65630,70800
2010-04-28,11606,72200,75000,75000,66071,72600
2010-04-29,10676,73000,76200,76500,67128,76200
2010-04-30,22227,74600,77400,77400,68185,77100
2010-05-03,3473,76000,76700,77500,67568,76300
2010-05-04,12545,73700,76400,78500,67304,77000
2010-05-06,12885,73000,75700,75700,66688,75300
2010-05-07,34449,64500,74000,77000,65190,72600
2010-05-10,12900,72600,72600,75000,63957,74700
2010-05-11,18365,72500,73400,74500,64661,73500
2010-05-12,9466,72400,72400,74000,63780,74000
2010-05-13,20008,73200,75500,76300,66511,73900
2010-05-14,17490,74300,76100,76600,67040,76000
2010-05-17,10655,72700,75000,75700,66071,75700
2010-05-18,6949,72200,74200,75600,65366,74100
2010-05-19,10269,72400,74200,75900,65366,73000
2010-05-20,15994,70200,70400,73800,62018,73100
2010-05-24,15712,67000,70300,70300,61930,69800
2010-05-25,13748,66000,69200,70500,60961,70300
2010-05-26,9062,68400,69600,70500,61314,68400
2010-05-27,7158,67500,69900,70000,61578,69600
2010-05-28,33452,66800,70800,71500,62371,70100
2010-05-31,17027,69500,74000,74000,65190,69500
2010-06-01,4643,71900,72200,73200,63604,73000
2010-06-03,10037,72300,73900,73900,65102,73800
2010-06-04,2941,72300,73000,73900,64309,73000
2010-06-07,5811,69900,71500,71800,62988,71800
2010-06-08,7511,70000,70800,72000,62371,70400
2010-06-09,11200,70000,71300,72400,62811,71500
2010-06-10,14990,69800,72200,72400,63604,70600
2010-06-11,12478,70900,72300,73500,63692,73000
2010-06-14,10965,70500,72000,72700,63428,71900
2010-06-15,5636,70500,71400,71700,62899,71000
2010-06-16,9115,69800,69800,72300,61490,71000
2010-06-17,8081,68000,69000,69900,60785,69800
2010-06-18,12575,67600,68100,69400,59992,69000
2010-06-21,12931,67300,69200,69300,60961,68100
2010-06-22,5151,68000,69000,69200,60785,69200
2010-06-23,15173,68100,69500,69500,61226,68100
2010-06-24,16860,70100,70900,71200,62459,70300
2010-06-25,6519,69300,70900,71000,62459,70500
2010-06-28,5650,69700,71000,71600,62547,71000
2010-06-29,9744,69600,71000,71200,62547,71000
2010-06-30,14023,69600,71300,71300,62811,69600
2010-07-01,6224,69400,69400,71100,61138,71100
2010-07-02,6748,68000,69300,69500,61049,68500
2010-07-05,3178,68300,69400,69900,61138,69000
2010-07-06,5267,67000,68200,69000,60080,69000
2010-07-07,8707,67400,68400,69000,60257,68300
2010-07-08,6772,68200,69500,69900,61226,69700
2010-07-09,6141,69000,70700,70900,62283,69600
2010-07-12,15929,69600,69600,70900,61314,70800
2010-07-13,6560,68900,70000,70200,61666,69100
2010-07-14,15110,68700,69200,70000,60961,69900
2010-07-15,6217,68000,68600,69600,60433,69100
2010-07-16,12134,66700,67000,69000,59023,68200
2010-07-19,7717,66000,67500,67500,59464,66000
2010-07-20,6273,66900,68200,68500,60080,67800
2010-07-21,7514,67300,67700,68400,59640,68300
2010-07-22,6386,66900,67900,67900,59816,67700
2010-07-23,5865,67300,68400,68700,60257,67600
2010-07-26,8269,68300,69000,69400,60785,68300
2010-07-27,17121,68300,68500,70100,60345,69400
2010-07-28,4949,67300,68400,68500,60257,68500
2010-07-29,5699,67000,68000,69000,59904,69000
2010-07-30,37242,64800,64800,67900,57085,67900
2010-08-02,11948,63800,64700,65100,56997,64800
2010-08-03,38869,61200,62500,65300,55059,64900
2010-08-04,11307,61300,63000,63500,55499,63300
2010-08-05,14063,62600,65900,65900,58054,62600
2010-08-06,23734,65700,69300,69400,61049,65700
2010-08-09,28309,69400,69800,71700,61490,69600
2010-08-10,16876,69900,69900,71400,61578,70000
2010-08-11,7889,69000,69300,70300,61049,69700
2010-08-12,5380,67500,69100,69500,60873,68700
2010-08-13,12627,68900,71000,71300,62547,69100
2010-08-16,10683,70000,71000,72300,62547,71000
2010-08-17,7010,70500,71500,72100,62988,72000
2010-08-18,6422,70500,71000,71500,62547,71500
2010-08-19,8141,69200,70500,71500,62107,71500
2010-08-20,13160,68700,71300,71700,62811,69800
2010-08-23,2735,70500,70900,71500,62459,71300
2010-08-24,7881,68600,69600,70900,61314,70900
2010-08-25,9140,66600,67700,69100,59640,68600
2010-08-26,2541,67500,68000,68900,59904,68900
2010-08-27,1488,67000,67700,68400,59640,67000
2010-08-30,8056,66100,67000,68700,59023,67900
2010-08-31,3370,65800,67300,67400,59288,66200
2010-09-01,2334,66800,66800,67900,58847,67300
2010-09-02,3040,66300,67200,67900,59199,67300
2010-09-03,5759,66300,66700,67900,58759,67800
2010-09-06,11343,65100,65300,67300,57526,66800
2010-09-07,6725,65300,65700,66300,57878,65400
2010-09-08,2049,65100,65500,66000,57702,66000
2010-09-09,41370,65300,67600,68000,59552,65300
2010-09-10,5163,67300,67500,68100,59464,67800
2010-09-13,7911,67000,68000,68500,59904,67000
2010-09-14,6217,67500,69100,69200,60873,68100
2010-09-15,3628,68500,69000,69500,60785,69500
2010-09-16,5962,68100,69900,70000,61578,68700
2010-09-17,17779,69300,72500,73300,63868,70000
2010-09-20,5651,72000,72500,74500,63868,72100
2010-09-24,8416,70000,71200,72800,62723,72100
2010-09-27,7736,71100,71500,72400,62988,72000
2010-09-28,7590,69100,69100,72100,60873,72100
2010-09-29,12027,67000,68200,70300,60080,69500
2010-09-30,14601,67800,70500,71500,62107,67800
2010-10-01,11002,68500,70000,71000,61666,71000
2010-10-04,3200,69000,69000,70500,60785,70000
2010-10-05,9474,68200,68200,69500,60080,69500
2010-10-06,18949,68600,70300,71000,61930,69000
2010-10-07,6558,69300,70200,71900,61842,71100
2010-10-08,11670,69900,72000,72000,63428,69900
2010-10-11,10755,70900,71900,73200,63340,72000
2010-10-12,8949,69900,71100,72100,62635,72000
2010-10-13,11707,70200,70700,72000,62283,71100
2010-10-14,10180,70400,71100,72000,62635,70800
2010-10-15,10019,70600,71400,71800,62899,71100
2010-10-18,45652,71900,75500,75500,66511,71900
2010-10-19,72177,75900,80500,80500,70916,75900
2010-10-20,61226,79500,81500,82400,71797,80400
2010-10-21,23751,80400,81900,82100,72149,81400
2010-10-22,56009,80500,85500,86700,75321,82500
2010-10-25,35469,84600,87300,87500,76907,85600
2010-10-26,60993,86600,90700,91000,79902,87400
2010-10-27,28946,87500,88900,92000,78316,91900
2010-10-28,15507,86000,88000,89400,77523,88300
2010-10-29,27079,86200,89400,89900,78757,87900
2010-11-01,23642,86500,87000,89400,76642,89400
2010-11-02,16519,85500,86200,87900,75938,87900
2010-11-03,32002,82700,87300,88000,76907,85100
2010-11-04,19261,86300,88100,89200,77611,86300
2010-11-05,13021,85700,86000,88900,75761,88200
2010-11-08,26450,83800,84400,86900,74352,86900
2010-11-09,32218,84000,88000,89000,77523,84400
2010-11-10,42357,85500,85600,88700,75409,88700
2010-11-11,77170,86400,88300,88400,77787,87200
2010-11-12,62951,88300,90000,92800,79285,89900
2010-11-15,45372,88200,90000,92900,79285,90900
2010-11-16,33211,86200,88400,91200,77876,90000
2010-11-17,17251,86000,88400,88600,77876,87300
2010-11-18,19489,87300,90000,90400,79285,88100
2010-11-19,10882,89300,89800,91500,79109,90300
2010-11-22,18992,86700,88400,90000,77876,90000
2010-11-23,15170,85200,85200,88100,75057,87400
2010-11-24,33089,80500,82400,85000,72590,80500
2010-11-25,15663,83000,83700,85400,73735,83400
2010-11-26,7690,82200,82200,84800,72414,83000
2010-11-29,10787,80500,82000,83000,72238,81500
2010-11-30,13371,81200,84400,84900,74352,81700
2010-12-01,11409,83700,84900,85400,74792,84400
2010-12-02,6866,83800,84500,85700,74440,85000
2010-12-03,9167,82200,82400,85100,72590,84700
2010-12-06,13625,81700,84000,84900,73999,82500
2010-12-07,13611,82300,84800,84800,74704,83600
2010-12-08,14708,81900,82100,84900,72326,84400
2010-12-09,21926,80500,81000,82500,71357,82400
2010-12-10,15502,78800,80000,81700,70476,81000
2010-12-13,13208,78300,78600,80500,69242,80000
2010-12-14,8648,78300,80100,80100,70564,78600
2010-12-15,14067,78500,79300,80700,69859,80700
2010-12-16,4536,78600,79000,79700,69595,79000
2010-12-17,6594,78000,78100,79500,68802,79000
2010-12-20,10783,76400,78400,78800,69066,77600
2010-12-21,13460,79000,79700,80400,70211,79100
2010-12-22,8976,79800,81700,82500,71973,80500
2010-12-23,8742,80200,81700,82400,71973,81400
2010-12-24,3958,80400,81400,82400,71709,81500
2010-12-27,10052,78800,81200,82200,71533,80300
2010-12-28,4699,80000,81000,81500,71357,80000
2010-12-29,13015,79200,81500,81500,73152,81000
2010-12-30,17364,80600,84000,84000,75396,81500
2011-01-03,14283,82100,83700,84900,75126,84100
2011-01-04,11382,82700,83700,84700,75126,83900
2011-01-05,11933,80500,80500,83500,72254,83000
2011-01-06,10559,80000,80500,81700,72254,80400
2011-01-07,11260,78800,79400,80900,71267,80900
2011-01-10,11486,78400,78400,80500,70369,79100
2011-01-11,41315,75000,76000,78900,68215,78300
2011-01-12,16213,75900,76500,77400,68664,76000
2011-01-13,20870,76000,77000,78100,69113,77000
2011-01-14,12634,76300,76500,77400,68664,77000
2011-01-17,20088,75200,75600,77000,67856,77000
