,Open,High,Low,Close,Volume,Adj Close
2018-03-28,27750,28300,27650,28050,139692,28050
2018-03-29,27650,27750,26550,27000,243973,27000
2018-03-30,26950,27350,26800,27300,107467,27300
2018-04-02,27100,27750,26850,27250,129139,27250
2018-04-03,27100,27350,26950,27000,111752,27000
2018-04-04,27000,27200,26350,26500,162823,26500
2018-04-05,26550,26850,26550,26800,53465,26800
2018-04-06,26650,26750,26250,26300,106063,26300
2018-04-09,26150,26350,25900,26000,131644,26000
2018-04-10,25800,26450,25700,26350,91340,26350
2018-04-11,26200,26500,26150,26150,101582,26150
2018-04-12,26300,26700,26150,26400,100647,26400
2018-04-13,26400,26500,26100,26200,92657,26200
2018-04-16,26200,26850,26000,26700,176920,26700
2018-04-17,26550,26700,26400,26550,56089,26550
2018-04-18,26450,26800,26450,26600,86072,26600
2018-04-19,26500,27700,26400,27500,241773,27500
2018-04-20,27300,27500,27000,27100,129935,27100
2018-04-23,27600,28050,27400,27700,256164,27700
2018-04-24,27600,27900,27100,27500,150084,27500
2018-04-25,27500,27500,26450,26450,187303,26450
2018-04-26,26300,26800,26150,26400,175724,26400
2018-04-27,26400,26650,26100,26400,181507,26400
2018-04-30,26550,26650,26050,26450,285647,26450
2018-05-02,26300,27150,26250,27100,208738,27100
2018-05-03,26850,27050,26650,26650,103340,26650
2018-05-04,26500,27150,26450,27100,214454,27100
2018-05-08,27100,27150,26050,26200,243552,26200
2018-05-09,26200,26300,25550,25800,236316,25800
2018-05-10,25850,26000,25600,25800,217830,25800
2018-05-11,25700,26100,25650,26000,154554,26000
2018-05-14,26350,30700,26350,30300,3052614,30300
2018-05-15,31300,31350,29400,30400,1387341,30400
2018-05-16,28450,29200,27850,28300,723524,28300
2018-05-17,28400,30200,28200,28550,1045043,28550
2018-05-18,29000,30050,28400,28850,674888,28850
2018-05-21,28850,29200,27900,28500,352100,28500
2018-05-23,28400,28450,27300,27500,502909,27500
2018-05-24,27850,27850,27000,27650,296758,27650
2018-05-25,26500,26950,26150,26350,537812,26350
2018-05-28,27600,29200,27550,28100,1034081,28100
2018-05-29,28300,28300,27200,27200,411652,27200
2018-05-30,27250,27350,26250,26500,426596,26500
2018-05-31,26650,26750,26200,26350,317313,26350
2018-06-01,26400,26600,26200,26450,182040,26450
2018-06-04,26650,27100,26500,26800,218532,26800
2018-06-05,26850,27600,26700,27450,243202,27450
2018-06-07,27450,27800,26850,27100,343266,27100
2018-06-08,27100,27350,26650,26900,171688,26900
2018-06-11,26950,28000,26950,27850,405832,27850
2018-06-12,28100,28150,27150,27500,425047,27500
2018-06-14,27150,27250,26400,26400,423304,26400
2018-06-15,26450,26750,26250,26450,246085,26450
2018-06-18,26400,26550,25900,26150,197460,26150
2018-06-19,26050,26250,25000,25000,290422,25000
2018-06-20,25000,25400,24550,24650,286126,24650
2018-06-21,24550,24750,23650,23750,349056,23750
2018-06-22,23500,24050,23500,24000,169427,24000
2018-06-25,24200,24250,23800,23950,182352,23950
2018-06-26,23950,24150,23650,24000,125214,24000
2018-06-27,24350,24650,23750,23750,241540,23750
2018-06-28,23850,24300,23700,23850,96955,23850
2018-06-29,23900,24250,23900,24150,130932,24150
2018-07-02,24250,24400,23000,23100,201719,23100
2018-07-03,23250,23350,22350,22650,227558,22650
2018-07-04,22500,22950,22450,22800,121177,22800
2018-07-05,22700,23000,22100,22300,121890,22300
2018-07-06,22300,22750,22250,22750,143066,22750
2018-07-09,22650,22750,22200,22400,128880,22400
2018-07-10,22500,23100,22400,22750,169215,22750
2018-07-11,22500,22850,22450,22750,98267,22750
2018-07-12,22700,23000,22550,22600,142614,22600
2018-07-13,22850,23100,22750,22800,70921,22800
2018-07-16,22850,22900,22450,22550,120122,22550
2018-07-17,22600,22900,22450,22550,100277,22550
2018-07-18,22550,22800,22300,22400,90821,22400
2018-07-19,22400,22550,22150,22200,80767,22200
2018-07-20,22150,22250,21800,21900,140906,21900
2018-07-23,22050,22950,22050,22700,176516,22700
2018-07-24,22800,22800,22350,22600,123199,22600
2018-07-25,22650,22900,22250,22350,74564,22350
2018-07-26,22600,23450,22550,22700,210316,22700
2018-07-27,23000,23000,22600,22800,109667,22800
2018-07-30,22650,23100,22650,22900,84394,22900
2018-07-31,23000,23800,22750,23600,205563,23600
2018-08-01,23700,23850,23450,23600,143547,23600
2018-08-02,23400,23600,22950,23000,81206,23000
2018-08-03,23150,23850,22950,23850,93116,23850
2018-08-06,23700,23800,23450,23600,63438,23600
2018-08-07,23500,23700,23250,23600,52036,23600
2018-08-08,23400,23700,23350,23400,38413,23400
2018-08-09,23450,23600,23250,23400,61600,23400
2018-08-10,23400,23750,23300,23450,58736,23450
2018-08-13,23250,23500,22650,22850,82807,22850
2018-08-14,22900,23200,22650,23200,79845,23200
