Date,Open,High,Low,Close,Volume,Adj Close
2018-05-09,3830,3930,3800,3925,158654,3925
2018-05-10,3905,3925,3860,3860,138426,3860
2018-05-11,3885,3885,3820,3860,107808,3860
2018-05-14,3860,3880,3810,3845,163637,3845
2018-05-15,3845,3860,3805,3830,128856,3830
2018-05-16,3830,3830,3775,3800,78762,3800
2018-05-17,3805,3860,3785,3830,66867,3830
2018-05-18,3830,3870,3795,3870,74247,3870
2018-05-21,3870,3870,3820,3830,91149,3830
2018-05-23,3830,3840,3785,3835,86318,3835
2018-05-24,3805,3850,3790,3810,110416,3810
2018-05-25,3800,3800,3750,3775,75675,3775
2018-05-28,3765,3810,3740,3770,131500,3770
2018-05-29,3750,3770,3740,3745,94558,3745
2018-05-30,3740,3800,3710,3720,142825,3720
2018-05-31,3730,3760,3705,3760,67992,3760
2018-06-01,3760,3775,3735,3740,42940,3740
2018-06-04,3730,3785,3730,3735,95183,3735
2018-06-05,3725,3755,3715,3735,109438,3735
2018-06-07,3735,3805,3735,3805,77909,3805
2018-06-08,3795,3805,3775,3805,44738,3805
2018-06-11,3835,3860,3795,3795,169265,3795
2018-06-12,3825,3830,3770,3805,76564,3805
2018-06-14,3800,3830,3730,3830,265805,3830
2018-06-15,3835,3835,3755,3755,132509,3755
2018-06-18,3755,3790,3600,3625,124143,3625
2018-06-19,3610,3670,3570,3570,123864,3570
2018-06-20,3505,3645,3505,3645,110166,3645
2018-06-21,3615,3650,3590,3590,45192,3590
2018-06-22,3590,3630,3550,3630,85273,3630
2018-06-25,3600,3620,3555,3620,53840,3620
2018-06-26,3620,3620,3500,3505,105797,3505
2018-06-27,3430,3565,3430,3480,260487,3480
